Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
0.008,0.016,0.016,0.014,0.018,0.01,0.032,0.022,0.018,0.05,0.056,0.056,0.056,0.054,0.046,0.104,0.076,0.08,0.106,0.088,0.088,0.09,0.088,0.102,0.188,0.13,0.15
0.052,0.072,0.072,0.074,0.078,0.048,0.076,0.08,0.132,0.14,0.176,0.172,0.174,0.172,0.15,0.166,0.198,0.258,0.238,0.258,0.258,0.258,0.262,0.22,0.252,0.272,0.366
0.242,0.29,0.29,0.292,0.294,0.226,0.226,0.296,0.416,0.436,0.478,0.48,0.48,0.476,0.442,0.408,0.49,0.648,0.546,0.61,0.61,0.614,0.622,0.526,0.502,0.626,0.734
0.6,0.674,0.674,0.668,0.672,0.572,0.544,0.664,0.792,0.782,0.826,0.824,0.824,0.822,0.792,0.742,0.812,0.91,0.86,0.894,0.894,0.892,0.892,0.85,0.814,0.876,0.954
0.88,0.906,0.904,0.902,0.9,0.868,0.838,0.888,0.968,0.958,0.974,0.974,0.974,0.974,0.96,0.934,0.978,0.994,0.982,0.988,0.988,0.988,0.988,0.976,0.962,0.988,0.994
0.986,0.992,0.992,0.992,0.99,0.982,0.972,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.996,0.998,1.0,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,1.0
0.006,0.014,0.014,0.014,0.016,0.014,0.012,0.01,0.004,0.05,0.042,0.042,0.042,0.042,0.066,0.034,0.056,0.03,0.108,0.106,0.108,0.108,0.098,0.124,0.074,0.126,0.062
0.044,0.058,0.058,0.058,0.064,0.046,0.01,0.042,0.032,0.118,0.166,0.168,0.166,0.162,0.156,0.054,0.164,0.108,0.22,0.27,0.272,0.272,0.274,0.258,0.098,0.272,0.22
0.214,0.298,0.294,0.302,0.302,0.27,0.034,0.21,0.208,0.452,0.544,0.544,0.532,0.53,0.488,0.128,0.476,0.44,0.626,0.648,0.65,0.65,0.646,0.616,0.252,0.634,0.6
0.62,0.672,0.68,0.67,0.668,0.662,0.128,0.56,0.568,0.818,0.868,0.864,0.862,0.864,0.834,0.41,0.818,0.8,0.902,0.932,0.932,0.932,0.934,0.908,0.566,0.926,0.906
0.904,0.942,0.942,0.94,0.936,0.916,0.372,0.904,0.88,0.97,0.976,0.976,0.976,0.976,0.974,0.716,0.966,0.966,0.992,0.986,0.986,0.986,0.986,0.994,0.852,0.982,0.99
0.99,0.99,0.992,0.994,0.99,0.996,0.67,0.98,0.982,0.998,1.0,1.0,1.0,1.0,0.998,0.928,0.998,0.998,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0
0.014,0.006,0.006,0.008,0.01,0.012,0.016,0.01,0.022,0.042,0.05,0.05,0.048,0.054,0.046,0.04,0.038,0.092,0.088,0.088,0.09,0.09,0.09,0.092,0.088,0.064,0.14
0.054,0.054,0.054,0.054,0.054,0.036,0.026,0.046,0.1,0.114,0.17,0.172,0.174,0.176,0.124,0.076,0.108,0.276,0.2,0.236,0.238,0.238,0.244,0.196,0.146,0.182,0.38
0.26,0.294,0.288,0.302,0.298,0.22,0.092,0.224,0.472,0.446,0.54,0.546,0.546,0.546,0.438,0.232,0.438,0.688,0.566,0.636,0.636,0.64,0.642,0.546,0.358,0.588,0.788
0.674,0.738,0.736,0.732,0.732,0.602,0.32,0.612,0.84,0.812,0.87,0.872,0.878,0.878,0.808,0.57,0.82,0.934,0.884,0.92,0.92,0.922,0.926,0.88,0.728,0.896,0.962
0.934,0.942,0.942,0.942,0.938,0.906,0.702,0.91,0.976,0.976,0.984,0.984,0.984,0.984,0.98,0.866,0.97,0.994,0.99,0.992,0.992,0.992,0.992,0.992,0.936,0.99,0.998
0.996,0.998,0.998,0.998,0.998,0.994,0.928,0.994,1.0,0.998,1.0,1.0,1.0,1.0,0.998,0.986,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.998,1.0
0.008,0.012,0.012,0.012,0.012,0.008,0.026,0.018,0.016,0.05,0.056,0.056,0.056,0.054,0.056,0.092,0.058,0.06,0.082,0.096,0.094,0.094,0.092,0.08,0.138,0.116,0.134
0.04,0.044,0.046,0.048,0.052,0.044,0.04,0.068,0.106,0.106,0.172,0.174,0.174,0.176,0.132,0.134,0.196,0.268,0.208,0.29,0.29,0.288,0.284,0.21,0.2,0.306,0.358
0.238,0.286,0.29,0.294,0.3,0.232,0.15,0.314,0.426,0.474,0.574,0.574,0.572,0.584,0.492,0.334,0.57,0.706,0.6,0.71,0.708,0.706,0.704,0.608,0.474,0.694,0.778
0.674,0.744,0.746,0.742,0.736,0.666,0.46,0.702,0.838,0.852,0.9,0.9,0.902,0.902,0.87,0.684,0.882,0.932,0.912,0.936,0.938,0.936,0.94,0.92,0.8,0.93,0.96
0.94,0.948,0.948,0.946,0.948,0.934,0.796,0.934,0.968,0.98,0.98,0.98,0.98,0.98,0.982,0.918,0.98,0.992,0.99,0.994,0.994,0.994,0.994,0.992,0.942,0.988,0.998
0.996,0.998,0.998,0.998,0.998,0.996,0.942,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0
