Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
0.016,0.014,0.014,0.014,0.016,0.016,0.042,0.046,0.046,0.042,0.04,0.044,0.098,0.074,0.078,0.08,0.08,0.1
0.074,0.114,0.114,0.104,0.106,0.078,0.23,0.274,0.274,0.272,0.272,0.192,0.31,0.376,0.372,0.378,0.374,0.306
0.564,0.626,0.626,0.62,0.62,0.618,0.79,0.836,0.84,0.838,0.836,0.8,0.87,0.91,0.91,0.91,0.912,0.872
0.958,0.98,0.982,0.984,0.984,0.95,0.99,0.994,0.994,0.994,0.994,0.986,0.996,0.998,1.0,1.0,1.0,0.996
1.0,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.012,0.01,0.01,0.01,0.008,0.014,0.04,0.042,0.042,0.044,0.042,0.048,0.096,0.098,0.098,0.1,0.098,0.12
0.096,0.11,0.106,0.104,0.108,0.11,0.236,0.286,0.286,0.292,0.282,0.262,0.348,0.382,0.382,0.38,0.38,0.384
0.54,0.604,0.602,0.608,0.614,0.584,0.776,0.814,0.818,0.82,0.818,0.778,0.844,0.89,0.89,0.89,0.89,0.864
0.97,0.98,0.98,0.982,0.984,0.972,0.998,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.008,0.014,0.014,0.014,0.014,0.01,0.058,0.038,0.036,0.036,0.038,0.07,0.104,0.1,0.102,0.106,0.104,0.114
0.11,0.146,0.144,0.15,0.148,0.122,0.24,0.284,0.282,0.28,0.274,0.256,0.354,0.386,0.386,0.384,0.386,0.352
0.566,0.67,0.67,0.67,0.682,0.582,0.77,0.818,0.818,0.82,0.816,0.79,0.852,0.886,0.886,0.886,0.884,0.852
0.95,0.972,0.972,0.972,0.974,0.954,0.984,0.99,0.99,0.99,0.99,0.982,0.992,0.998,0.998,0.998,0.998,0.992
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.002,0.01,0.01,0.008,0.008,0.004,0.058,0.054,0.052,0.052,0.052,0.032,0.084,0.092,0.092,0.094,0.09,0.082
0.08,0.132,0.134,0.138,0.138,0.078,0.25,0.306,0.306,0.306,0.306,0.23,0.356,0.41,0.412,0.416,0.418,0.33
0.514,0.638,0.642,0.64,0.628,0.496,0.754,0.834,0.834,0.836,0.834,0.726,0.844,0.904,0.904,0.904,0.904,0.83
0.96,0.98,0.98,0.98,0.978,0.952,0.988,0.994,0.994,0.994,0.994,0.986,0.994,0.996,0.996,0.996,0.996,0.994
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
