x1,x2,x3,x4,x5
0.112,0.114,0.115,0.113,0.114
0.168,0.184,0.183,0.178,0.18
0.449,0.514,0.514,0.515,0.511
0.749,0.804,0.808,0.808,0.811
0.941,0.966,0.966,0.966,0.967
0.992,0.994,0.994,0.994,0.994
0.114,0.107,0.109,0.111,0.113
0.175,0.193,0.193,0.19,0.19
0.432,0.487,0.489,0.49,0.487
0.751,0.812,0.811,0.811,0.81
0.935,0.958,0.958,0.958,0.959
0.985,0.995,0.995,0.995,0.995
0.088,0.076,0.079,0.08,0.079
0.184,0.195,0.195,0.197,0.201
0.425,0.504,0.503,0.502,0.504
0.754,0.811,0.81,0.815,0.815
0.934,0.965,0.966,0.967,0.966
0.995,0.995,0.995,0.995,0.995
0.09,0.094,0.092,0.093,0.096
0.159,0.185,0.187,0.187,0.195
0.389,0.472,0.474,0.479,0.484
0.738,0.796,0.795,0.795,0.795
0.918,0.948,0.948,0.947,0.948
0.99,0.997,0.997,0.997,0.996
0.106,0.1,0.101,0.102,0.1
0.256,0.308,0.307,0.302,0.301
0.697,0.774,0.777,0.779,0.778
0.969,0.981,0.981,0.982,0.982
0.999,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
0.104,0.091,0.091,0.088,0.09
0.256,0.311,0.314,0.314,0.314
0.701,0.774,0.776,0.778,0.778
0.972,0.987,0.987,0.987,0.987
1.0,1.0,1.0,1.0,1.0
0.999,1.0,1.0,1.0,1.0
0.083,0.086,0.086,0.086,0.084
0.252,0.322,0.322,0.321,0.32
0.721,0.784,0.785,0.786,0.784
0.959,0.983,0.983,0.985,0.986
0.999,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
0.103,0.104,0.104,0.104,0.104
0.332,0.381,0.378,0.373,0.367
0.701,0.775,0.773,0.772,0.776
0.96,0.977,0.977,0.976,0.978
0.998,0.999,0.999,0.999,0.999
1.0,1.0,1.0,1.0,1.0
